"","Gene.Symbol","StrataNGSv3","xT","Match type.x","Approved symbol.x","Approved name.x","HGNC ID.x","Location.x","xO","TSO500","Match type.y","Approved symbol.y","Approved name.y","HGNC ID.y","Location.y","FoundationOne","Match type","Approved symbol","Approved name","HGNC ID","Location","MSK"
"1","AATK",NA,NA,"Approved symbol","AATK","apoptosis associated tyrosine kinase","HGNC:21","17q25.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ABCA1",NA,NA,"Approved symbol","ABCA1","ATP binding cassette subfamily A member 1","HGNC:29","9q31.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ABCB1",NA,"Yes","Approved symbol","ABCB1","ATP binding cassette subfamily B member 1","HGNC:40","7q21.12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ABCB11",NA,NA,"Approved symbol","ABCB11","ATP binding cassette subfamily B member 11","HGNC:42","2q31.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ABCB4",NA,NA,"Approved symbol","ABCB4","ATP binding cassette subfamily B member 4","HGNC:45","7q21.12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ABCC1",NA,NA,"Approved symbol","ABCC1","ATP binding cassette subfamily C member 1","HGNC:51","16p13.11","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABCC2",NA,NA,"Approved symbol","ABCC2","ATP binding cassette subfamily C member 2","HGNC:53","10q24.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABCC3",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABCG1",NA,NA,"Approved symbol","ABCG1","ATP binding cassette subfamily G member 1","HGNC:73","21q22.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABCG2",NA,NA,"Approved symbol","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)","HGNC:74","4q22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ABI1",NA,NA,"Approved symbol","ABI1","abl interactor 1","HGNC:11320","10p12.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ABL1","Yes","Yes","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12","Yes","Yes","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12","Yes","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12","Yes"
"13","ABL2","Yes","Yes","Approved symbol","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","HGNC:77","1q25.2","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ACE",NA,NA,"Approved symbol","ACE","angiotensin I converting enzyme","HGNC:2707","17q23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ACSL6",NA,NA,"Approved symbol","ACSL6","acyl-CoA synthetase long chain family member 6","HGNC:16496","5q31.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ACTA2",NA,"Yes","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ACTC1",NA,NA,"Approved symbol","ACTC1","actin alpha cardiac muscle 1","HGNC:143","15q14","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ACVR1",NA,NA,"Approved symbol","ACVR1","activin A receptor type 1","HGNC:171","2q24.1","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","ACVR1","activin A receptor type 1","HGNC:171","2q24.1","Yes"
"19","ACVR1B",NA,"Yes","Approved symbol","ACVR1B","activin A receptor type 1B","HGNC:172","12q13.13","Yes","Yes","Approved symbol","ACVR1B","activin A receptor type 1B","HGNC:172","12q13.13","Yes",NA,NA,NA,NA,NA,NA
"20","ACVR2A","Yes",NA,"Approved symbol","ACVR2A","activin A receptor type 2A","HGNC:173","2q22.3-q23.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ACVR2B",NA,NA,"Approved symbol","ACVR2B","activin A receptor type 2B","HGNC:174","3p22.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
